MAL-00001 | Fullmetal Alchemist: Brotherhood | Type: Movie | Score: 5.01 | Genre: Comedy
MAL-00030 | Princess Mononoke | Type: TV | Score: 5.3 | Genre: Action
MAL-00031 | Howl's Moving Castle | Type: Movie | Score: 5.31 | Genre: Comedy
MAL-00032 | Violet Evergarden | Type: OVA | Score: 5.32 | Genre: Drama
MAL-00033 | Kaguya-sama: Love is War | Type: ONA | Score: 5.33 | Genre: Fantasy
MAL-00034 | Clannad: After Story | Type: Special | Score: 5.34 | Genre: Sci-Fi
MAL-00035 | Toradora! | Type: TV | Score: 5.35 | Genre: Slice of Life
MAL-00036 | Anohana: The Flower We Saw That Day | Type: Movie | Score: 5.36 | Genre: Romance
MAL-00037 | Your Lie in April | Type: OVA | Score: 5.37 | Genre: Suspense
MAL-00038 | Haikyu!! | Type: ONA | Score: 5.38 | Genre: Adventure
MAL-00039 | Kuroko's Basketball | Type: Special | Score: 5.39 | Genre: Sports
MAL-00040 | Slam Dunk | Type: TV | Score: 5.4 | Genre: Action
MAL-00041 | Blue Lock | Type: Movie | Score: 5.41 | Genre: Comedy
MAL-00042 | Ao Ashi | Type: OVA | Score: 5.42 | Genre: Drama
MAL-00043 | Chihayafuru | Type: ONA | Score: 5.43 | Genre: Fantasy
MAL-00044 | Legend of the Galactic Heroes | Type: Special | Score: 5.44 | Genre: Sci-Fi
MAL-00045 | Pluto | Type: TV | Score: 5.45 | Genre: Slice of Life
MAL-00046 | Monster | Type: Movie | Score: 5.46 | Genre: Romance
MAL-00047 | Berserk | Type: OVA | Score: 5.47 | Genre: Suspense
MAL-00048 | Claymore | Type: ONA | Score: 5.48 | Genre: Adventure
MAL-00049 | D.Gray-man | Type: Special | Score: 5.49 | Genre: Sports
MAL-00050 | Soul Eater | Type: TV | Score: 5.5 | Genre: Action
MAL-00051 | Fairy Tail | Type: Movie | Score: 5.51 | Genre: Comedy
MAL-00052 | The Seven Deadly Sins | Type: OVA | Score: 5.52 | Genre: Drama
MAL-00053 | Overlord | Type: ONA | Score: 5.53 | Genre: Fantasy
MAL-00054 | That Time I Got Reincarnated as a Slime | Type: Special | Score: 5.54 | Genre: Sci-Fi
MAL-00055 | Mushoku Tensei: Jobless Reincarnation | Type: TV | Score: 5.55 | Genre: Slice of Life
MAL-00056 | Reincarnated as a Sword | Type: Movie | Score: 5.56 | Genre: Romance
MAL-00057 | The Eminence in Shadow | Type: OVA | Score: 5.57 | Genre: Suspense
MAL-00058 | Log Horizon | Type: ONA | Score: 5.58 | Genre: Adventure
MAL-00059 | No Game No Life | Type: Special | Score: 5.59 | Genre: Sports
MAL-00060 | Konosuba: God's Blessing on this Wonderful World! | Type: TV | Score: 5.6 | Genre: Action
MAL-00061 | Re:CREATORS | Type: Movie | Score: 5.61 | Genre: Comedy
MAL-00062 | Fate/Zero | Type: OVA | Score: 5.62 | Genre: Drama
MAL-00063 | Fate/stay night: Unlimited Blade Works | Type: ONA | Score: 5.63 | Genre: Fantasy
MAL-00064 | Heaven's Feel | Type: Special | Score: 5.64 | Genre: Sci-Fi
MAL-00065 | Kara no Kyoukai | Type: TV | Score: 5.65 | Genre: Slice of Life
MAL-00066 | Psycho-Pass | Type: Movie | Score: 5.66 | Genre: Romance
MAL-00067 | Ghost in the Shell: Stand Alone Complex | Type: OVA | Score: 5.67 | Genre: Suspense
MAL-00068 | Akira | Type: ONA | Score: 5.68 | Genre: Adventure
MAL-00069 | Steins;Gate 0 | Type: Special | Score: 5.69 | Genre: Sports
MAL-00070 | Erased | Type: TV | Score: 5.7 | Genre: Action
MAL-00071 | The Promised Neverland | Type: Movie | Score: 5.71 | Genre: Comedy
MAL-00072 | Made in Abyss | Type: OVA | Score: 5.72 | Genre: Drama
MAL-00073 | Land of the Lustrous | Type: ONA | Score: 5.73 | Genre: Fantasy
MAL-00074 | Girls' Last Tour | Type: Special | Score: 5.74 | Genre: Sci-Fi
MAL-00075 | Nichijou - My Ordinary Life | Type: TV | Score: 5.75 | Genre: Slice of Life
MAL-00076 | Daily Lives of High School Boys | Type: Movie | Score: 5.76 | Genre: Romance
MAL-00077 | Grand Blue Dreaming | Type: OVA | Score: 5.77 | Genre: Suspense
MAL-00078 | Gekkan Shoujo Nozaki-kun | Type: ONA | Score: 5.78 | Genre: Adventure
MAL-00079 | K-On! | Type: Special | Score: 5.79 | Genre: Sports
MAL-00080 | Bocchi the Rock! | Type: TV | Score: 5.8 | Genre: Action
MAL-00081 | Love Live! School Idol Project | Type: Movie | Score: 5.81 | Genre: Comedy
MAL-00082 | The Melancholy of Haruhi Suzumiya | Type: OVA | Score: 5.82 | Genre: Drama
MAL-00083 | Lucky Star | Type: ONA | Score: 5.83 | Genre: Fantasy
MAL-00084 | Azumanga Daioh | Type: Special | Score: 5.84 | Genre: Sci-Fi
MAL-00085 | Tanaka-kun is Always Listless | Type: TV | Score: 5.85 | Genre: Slice of Life
MAL-00086 | School Babysitters | Type: Movie | Score: 5.86 | Genre: Romance
MAL-00087 | Barakamon | Type: OVA | Score: 5.87 | Genre: Suspense
MAL-00088 | Silver Spoon | Type: ONA | Score: 5.88 | Genre: Adventure
MAL-00089 | March Comes in Like a Lion | Type: Special | Score: 5.89 | Genre: Sports
MAL-00090 | Honey and Clover | Type: TV | Score: 5.9 | Genre: Action
MAL-00091 | Natsume's Book of Friends | Type: Movie | Score: 5.91 | Genre: Comedy
MAL-00092 | Mushishi | Type: OVA | Score: 5.92 | Genre: Drama
MAL-00093 | Kino's Journey | Type: ONA | Score: 5.93 | Genre: Fantasy
MAL-00094 | Spice and Wolf | Type: Special | Score: 5.94 | Genre: Sci-Fi
MAL-00095 | The Tatami Galaxy | Type: TV | Score: 5.95 | Genre: Slice of Life
MAL-00096 | Ping Pong the Animation | Type: Movie | Score: 5.96 | Genre: Romance
MAL-00097 | Odd Taxi | Type: OVA | Score: 5.97 | Genre: Suspense
MAL-00098 | Cyberpunk: Edgerunners | Type: ONA | Score: 5.98 | Genre: Adventure
MAL-00099 | Devilman Crybaby | Type: Special | Score: 5.99 | Genre: Sports
MAL-00100 | Parasyte -the maxim- | Type: TV | Score: 6.0 | Genre: Action
MAL-00101 | Inuyashiki | Type: Movie | Score: 6.01 | Genre: Comedy
MAL-00102 | Elfen Lied | Type: OVA | Score: 6.02 | Genre: Drama
MAL-00103 | Deadman Wonderland | Type: ONA | Score: 6.03 | Genre: Fantasy
MAL-00104 | Mirai Nikki | Type: Special | Score: 6.04 | Genre: Sci-Fi
MAL-00105 | Another | Type: TV | Score: 6.05 | Genre: Slice of Life
MAL-00106 | Shiki | Type: Movie | Score: 6.06 | Genre: Romance
MAL-00107 | Higurashi: When They Cry | Type: OVA | Score: 6.07 | Genre: Suspense
MAL-00108 | Summer Time Rendering | Type: ONA | Score: 6.08 | Genre: Adventure
MAL-00109 | Ergo Proxy | Type: Special | Score: 6.09 | Genre: Sports
MAL-00110 | Texhnolyze | Type: TV | Score: 6.1 | Genre: Action
MAL-00111 | Serial Experiments Lain | Type: Movie | Score: 6.11 | Genre: Comedy
MAL-00112 | Darker than Black | Type: OVA | Score: 6.12 | Genre: Drama
MAL-00113 | Black Lagoon | Type: ONA | Score: 6.13 | Genre: Fantasy
MAL-00114 | Jormungand | Type: Special | Score: 6.14 | Genre: Sci-Fi
MAL-00115 | Hellsing Ultimate | Type: TV | Score: 6.15 | Genre: Slice of Life
MAL-00116 | Drifters | Type: Movie | Score: 6.16 | Genre: Romance
MAL-00117 | Dororo | Type: OVA | Score: 6.17 | Genre: Suspense
MAL-00118 | Samurai Champloo | Type: ONA | Score: 6.18 | Genre: Adventure
MAL-00119 | Rurouni Kenshin | Type: Special | Score: 6.19 | Genre: Sports
MAL-00120 | Gintama' | Type: TV | Score: 6.2 | Genre: Action
MAL-00121 | Gintama° | Type: Movie | Score: 6.21 | Genre: Comedy
MAL-00122 | Gintama: Enchousen | Type: OVA | Score: 6.22 | Genre: Drama
MAL-00123 | Gintama: The Final | Type: ONA | Score: 6.23 | Genre: Fantasy
MAL-00124 | Bleach | Type: Special | Score: 6.24 | Genre: Sci-Fi
MAL-00125 | Katekyo Hitman Reborn! | Type: TV | Score: 6.25 | Genre: Slice of Life
MAL-00126 | D.Gray-man Hallow | Type: Movie | Score: 6.26 | Genre: Romance
MAL-00127 | Beelzebub | Type: OVA | Score: 6.27 | Genre: Suspense
MAL-00128 | Gourmet Girl Graffiti | Type: ONA | Score: 6.28 | Genre: Adventure
MAL-00129 | Food Wars! Shokugeki no Soma | Type: Special | Score: 6.29 | Genre: Sports
MAL-00130 | Yakitate!! Japan | Type: TV | Score: 6.3 | Genre: Action
MAL-00131 | Toriko | Type: Movie | Score: 6.31 | Genre: Comedy
MAL-00132 | Golden Kamuy | Type: OVA | Score: 6.32 | Genre: Drama
MAL-00133 | Vinland Saga Season 2 | Type: ONA | Score: 6.33 | Genre: Fantasy
MAL-00134 | Kingdom | Type: Special | Score: 6.34 | Genre: Sci-Fi
MAL-00135 | The Kings Avatar | Type: TV | Score: 6.35 | Genre: Slice of Life
MAL-00136 | Soul Land | Type: Movie | Score: 6.36 | Genre: Romance
MAL-00137 | Battle Through the Heavens | Type: OVA | Score: 6.37 | Genre: Suspense
MAL-00138 | A Will Eternal | Type: ONA | Score: 6.38 | Genre: Adventure
MAL-00139 | Perfect World | Type: Special | Score: 6.39 | Genre: Sports
MAL-00140 | Stellar Transformations | Type: TV | Score: 6.4 | Genre: Action
MAL-00141 | Martial Universe | Type: Movie | Score: 6.41 | Genre: Comedy
MAL-00142 | Spare Me, Great Lord! | Type: OVA | Score: 6.42 | Genre: Drama
MAL-00143 | Versatile Mage | Type: ONA | Score: 6.43 | Genre: Fantasy
MAL-00144 | Fullmetal Alchemist: Brotherhood Season 2 | Type: Special | Score: 6.44 | Genre: Sci-Fi
MAL-00145 | Frieren: Beyond Journey's End Season 2 | Type: TV | Score: 6.45 | Genre: Slice of Life
MAL-00146 | Steins;Gate Season 2 | Type: Movie | Score: 6.46 | Genre: Romance
MAL-00147 | Attack on Titan Season 2 | Type: OVA | Score: 6.47 | Genre: Suspense
MAL-00148 | Hunter x Hunter Season 2 | Type: ONA | Score: 6.48 | Genre: Adventure
MAL-00149 | Bleach: Thousand-Year Blood War Season 2 | Type: Special | Score: 6.49 | Genre: Sports
MAL-00150 | Gintama Season 2 | Type: TV | Score: 6.5 | Genre: Action
MAL-00151 | One Piece Season 2 | Type: Movie | Score: 6.51 | Genre: Comedy
MAL-00152 | Naruto: Shippuden Season 2 | Type: OVA | Score: 6.52 | Genre: Drama
MAL-00153 | Re:Zero - Starting Life in Another World Season 2 | Type: ONA | Score: 6.53 | Genre: Fantasy
MAL-00154 | Jujutsu Kaisen Season 2 | Type: Special | Score: 6.54 | Genre: Sci-Fi
MAL-00155 | Demon Slayer: Kimetsu no Yaiba Season 2 | Type: TV | Score: 6.55 | Genre: Slice of Life
MAL-00156 | Chainsaw Man Season 2 | Type: Movie | Score: 6.56 | Genre: Romance
MAL-00157 | Cowboy Bebop Season 2 | Type: OVA | Score: 6.57 | Genre: Suspense
MAL-00158 | Neon Genesis Evangelion Season 2 | Type: ONA | Score: 6.58 | Genre: Adventure
MAL-00159 | Code Geass: Lelouch of the Rebellion Season 2 | Type: Special | Score: 6.59 | Genre: Sports
MAL-00160 | Death Note Season 2 | Type: TV | Score: 6.6 | Genre: Action
MAL-00161 | Monster Season 2 | Type: Movie | Score: 6.61 | Genre: Comedy
MAL-00162 | Hajime no Ippo Season 2 | Type: OVA | Score: 6.62 | Genre: Drama
MAL-00163 | Vinland Saga Season 2 | Type: ONA | Score: 6.63 | Genre: Fantasy
MAL-00164 | Mob Psycho 100 Season 2 | Type: Special | Score: 6.64 | Genre: Sci-Fi
MAL-00165 | One Punch Man Season 2 | Type: TV | Score: 6.65 | Genre: Slice of Life
MAL-00166 | My Hero Academia Season 2 | Type: Movie | Score: 6.66 | Genre: Romance
MAL-00167 | Black Clover Season 2 | Type: OVA | Score: 6.67 | Genre: Suspense
MAL-00168 | Sword Art Online Season 2 | Type: ONA | Score: 6.68 | Genre: Adventure
MAL-00169 | Tokyo Ghoul Season 2 | Type: Special | Score: 6.69 | Genre: Sports
MAL-00170 | Your Name. Season 2 | Type: TV | Score: 6.7 | Genre: Action
MAL-00171 | Spirited Away Season 2 | Type: Movie | Score: 6.71 | Genre: Comedy
MAL-00172 | A Silent Voice Season 2 | Type: OVA | Score: 6.72 | Genre: Drama
MAL-00173 | Princess Mononoke Season 2 | Type: ONA | Score: 6.73 | Genre: Fantasy
MAL-00174 | Howl's Moving Castle Season 2 | Type: Special | Score: 6.74 | Genre: Sci-Fi
MAL-00175 | Violet Evergarden Season 2 | Type: TV | Score: 6.75 | Genre: Slice of Life
MAL-00176 | Kaguya-sama: Love is War Season 2 | Type: Movie | Score: 6.76 | Genre: Romance
MAL-00177 | Clannad: After Story Season 2 | Type: OVA | Score: 6.77 | Genre: Suspense
MAL-00178 | Toradora! Season 2 | Type: ONA | Score: 6.78 | Genre: Adventure
MAL-00179 | Anohana: The Flower We Saw That Day Season 2 | Type: Special | Score: 6.79 | Genre: Sports
MAL-00180 | Your Lie in April Season 2 | Type: TV | Score: 6.8 | Genre: Action
MAL-00181 | Haikyu!! Season 2 | Type: Movie | Score: 6.81 | Genre: Comedy
MAL-00182 | Kuroko's Basketball Season 2 | Type: OVA | Score: 6.82 | Genre: Drama
MAL-00183 | Slam Dunk Season 2 | Type: ONA | Score: 6.83 | Genre: Fantasy
MAL-00184 | Blue Lock Season 2 | Type: Special | Score: 6.84 | Genre: Sci-Fi
MAL-00185 | Ao Ashi Season 2 | Type: TV | Score: 6.85 | Genre: Slice of Life
MAL-00186 | Chihayafuru Season 2 | Type: Movie | Score: 6.86 | Genre: Romance
MAL-00187 | Legend of the Galactic Heroes Season 2 | Type: OVA | Score: 6.87 | Genre: Suspense
MAL-00188 | Pluto Season 2 | Type: ONA | Score: 6.88 | Genre: Adventure
MAL-00189 | Monster Season 2 | Type: Special | Score: 6.89 | Genre: Sports
MAL-00190 | Berserk Season 2 | Type: TV | Score: 6.9 | Genre: Action
MAL-00191 | Claymore Season 2 | Type: Movie | Score: 6.91 | Genre: Comedy
MAL-00192 | D.Gray-man Season 2 | Type: OVA | Score: 6.92 | Genre: Drama
MAL-00193 | Soul Eater Season 2 | Type: ONA | Score: 6.93 | Genre: Fantasy
MAL-00194 | Fairy Tail Season 2 | Type: Special | Score: 6.94 | Genre: Sci-Fi
MAL-00195 | The Seven Deadly Sins Season 2 | Type: TV | Score: 6.95 | Genre: Slice of Life
MAL-00196 | Overlord Season 2 | Type: Movie | Score: 6.96 | Genre: Romance
MAL-00197 | That Time I Got Reincarnated as a Slime Season 2 | Type: OVA | Score: 6.97 | Genre: Suspense
MAL-00198 | Mushoku Tensei: Jobless Reincarnation Season 2 | Type: ONA | Score: 6.98 | Genre: Adventure
MAL-00199 | Reincarnated as a Sword Season 2 | Type: Special | Score: 6.99 | Genre: Sports
MAL-00200 | The Eminence in Shadow Season 2 | Type: TV | Score: 7.0 | Genre: Action
MAL-00201 | Log Horizon Season 2 | Type: Movie | Score: 7.01 | Genre: Comedy
MAL-00202 | No Game No Life Season 2 | Type: OVA | Score: 7.02 | Genre: Drama
MAL-00203 | Konosuba: God's Blessing on this Wonderful World! Season 2 | Type: ONA | Score: 7.03 | Genre: Fantasy
MAL-00204 | Re:CREATORS Season 2 | Type: Special | Score: 7.04 | Genre: Sci-Fi
MAL-00205 | Fate/Zero Season 2 | Type: TV | Score: 7.05 | Genre: Slice of Life
MAL-00206 | Fate/stay night: Unlimited Blade Works Season 2 | Type: Movie | Score: 7.06 | Genre: Romance
MAL-00207 | Heaven's Feel Season 2 | Type: OVA | Score: 7.07 | Genre: Suspense
MAL-00208 | Kara no Kyoukai Season 2 | Type: ONA | Score: 7.08 | Genre: Adventure
MAL-00209 | Psycho-Pass Season 2 | Type: Special | Score: 7.09 | Genre: Sports
MAL-00210 | Ghost in the Shell: Stand Alone Complex Season 2 | Type: TV | Score: 7.1 | Genre: Action
MAL-00211 | Akira Season 2 | Type: Movie | Score: 7.11 | Genre: Comedy
MAL-00212 | Steins;Gate 0 Season 2 | Type: OVA | Score: 7.12 | Genre: Drama
MAL-00213 | Erased Season 2 | Type: ONA | Score: 7.13 | Genre: Fantasy
MAL-00214 | The Promised Neverland Season 2 | Type: Special | Score: 7.14 | Genre: Sci-Fi
MAL-00215 | Made in Abyss Season 2 | Type: TV | Score: 7.15 | Genre: Slice of Life
MAL-00216 | Land of the Lustrous Season 2 | Type: Movie | Score: 7.16 | Genre: Romance
MAL-00217 | Girls' Last Tour Season 2 | Type: OVA | Score: 7.17 | Genre: Suspense
MAL-00218 | Nichijou - My Ordinary Life Season 2 | Type: ONA | Score: 7.18 | Genre: Adventure
MAL-00219 | Daily Lives of High School Boys Season 2 | Type: Special | Score: 7.19 | Genre: Sports
MAL-00220 | Grand Blue Dreaming Season 2 | Type: TV | Score: 7.2 | Genre: Action
MAL-00221 | Gekkan Shoujo Nozaki-kun Season 2 | Type: Movie | Score: 7.21 | Genre: Comedy
MAL-00222 | K-On! Season 2 | Type: OVA | Score: 7.22 | Genre: Drama
MAL-00223 | Bocchi the Rock! Season 2 | Type: ONA | Score: 7.23 | Genre: Fantasy
MAL-00224 | Love Live! School Idol Project Season 2 | Type: Special | Score: 7.24 | Genre: Sci-Fi
MAL-00225 | The Melancholy of Haruhi Suzumiya Season 2 | Type: TV | Score: 7.25 | Genre: Slice of Life
MAL-00226 | Lucky Star Season 2 | Type: Movie | Score: 7.26 | Genre: Romance
MAL-00227 | Azumanga Daioh Season 2 | Type: OVA | Score: 7.27 | Genre: Suspense
MAL-00228 | Tanaka-kun is Always Listless Season 2 | Type: ONA | Score: 7.28 | Genre: Adventure
MAL-00229 | School Babysitters Season 2 | Type: Special | Score: 7.29 | Genre: Sports
MAL-00230 | Barakamon Season 2 | Type: TV | Score: 7.3 | Genre: Action
MAL-00231 | Silver Spoon Season 2 | Type: Movie | Score: 7.31 | Genre: Comedy
MAL-00232 | March Comes in Like a Lion Season 2 | Type: OVA | Score: 7.32 | Genre: Drama
MAL-00233 | Honey and Clover Season 2 | Type: ONA | Score: 7.33 | Genre: Fantasy
MAL-00234 | Natsume's Book of Friends Season 2 | Type: Special | Score: 7.34 | Genre: Sci-Fi
MAL-00235 | Mushishi Season 2 | Type: TV | Score: 7.35 | Genre: Slice of Life
MAL-00236 | Kino's Journey Season 2 | Type: Movie | Score: 7.36 | Genre: Romance
MAL-00237 | Spice and Wolf Season 2 | Type: OVA | Score: 7.37 | Genre: Suspense
MAL-00238 | The Tatami Galaxy Season 2 | Type: ONA | Score: 7.38 | Genre: Adventure
MAL-00239 | Ping Pong the Animation Season 2 | Type: Special | Score: 7.39 | Genre: Sports
MAL-00240 | Odd Taxi Season 2 | Type: TV | Score: 7.4 | Genre: Action
MAL-00241 | Cyberpunk: Edgerunners Season 2 | Type: Movie | Score: 7.41 | Genre: Comedy
MAL-00242 | Devilman Crybaby Season 2 | Type: OVA | Score: 7.42 | Genre: Drama
MAL-00243 | Parasyte -the maxim- Season 2 | Type: ONA | Score: 7.43 | Genre: Fantasy
MAL-00244 | Inuyashiki Season 2 | Type: Special | Score: 7.44 | Genre: Sci-Fi
MAL-00245 | Elfen Lied Season 2 | Type: TV | Score: 7.45 | Genre: Slice of Life
MAL-00246 | Deadman Wonderland Season 2 | Type: Movie | Score: 7.46 | Genre: Romance
MAL-00247 | Mirai Nikki Season 2 | Type: OVA | Score: 7.47 | Genre: Suspense
MAL-00248 | Another Season 2 | Type: ONA | Score: 7.48 | Genre: Adventure
MAL-00249 | Shiki Season 2 | Type: Special | Score: 7.49 | Genre: Sports
MAL-00250 | Higurashi: When They Cry Season 2 | Type: TV | Score: 7.5 | Genre: Action
MAL-00251 | Summer Time Rendering Season 2 | Type: Movie | Score: 7.51 | Genre: Comedy
MAL-00252 | Ergo Proxy Season 2 | Type: OVA | Score: 7.52 | Genre: Drama
MAL-00253 | Texhnolyze Season 2 | Type: ONA | Score: 7.53 | Genre: Fantasy
MAL-00254 | Serial Experiments Lain Season 2 | Type: Special | Score: 7.54 | Genre: Sci-Fi
MAL-00255 | Darker than Black Season 2 | Type: TV | Score: 7.55 | Genre: Slice of Life
MAL-00256 | Black Lagoon Season 2 | Type: Movie | Score: 7.56 | Genre: Romance
MAL-00257 | Jormungand Season 2 | Type: OVA | Score: 7.57 | Genre: Suspense
MAL-00258 | Hellsing Ultimate Season 2 | Type: ONA | Score: 7.58 | Genre: Adventure
MAL-00259 | Drifters Season 2 | Type: Special | Score: 7.59 | Genre: Sports
MAL-00260 | Dororo Season 2 | Type: TV | Score: 7.6 | Genre: Action
MAL-00261 | Samurai Champloo Season 2 | Type: Movie | Score: 7.61 | Genre: Comedy
MAL-00262 | Rurouni Kenshin Season 2 | Type: OVA | Score: 7.62 | Genre: Drama
MAL-00263 | Gintama' Season 2 | Type: ONA | Score: 7.63 | Genre: Fantasy
MAL-00264 | Gintama° Season 2 | Type: Special | Score: 7.64 | Genre: Sci-Fi
MAL-00265 | Gintama: Enchousen Season 2 | Type: TV | Score: 7.65 | Genre: Slice of Life
MAL-00266 | Gintama: The Final Season 2 | Type: Movie | Score: 7.66 | Genre: Romance
MAL-00267 | Bleach Season 2 | Type: OVA | Score: 7.67 | Genre: Suspense
MAL-00268 | Katekyo Hitman Reborn! Season 2 | Type: ONA | Score: 7.68 | Genre: Adventure
MAL-00269 | D.Gray-man Hallow Season 2 | Type: Special | Score: 7.69 | Genre: Sports
MAL-00270 | Beelzebub Season 2 | Type: TV | Score: 7.7 | Genre: Action
MAL-00271 | Gourmet Girl Graffiti Season 2 | Type: Movie | Score: 7.71 | Genre: Comedy
MAL-00272 | Food Wars! Shokugeki no Soma Season 2 | Type: OVA | Score: 7.72 | Genre: Drama
MAL-00273 | Yakitate!! Japan Season 2 | Type: ONA | Score: 7.73 | Genre: Fantasy
MAL-00274 | Toriko Season 2 | Type: Special | Score: 7.74 | Genre: Sci-Fi
MAL-00275 | Golden Kamuy Season 2 | Type: TV | Score: 7.75 | Genre: Slice of Life
MAL-00276 | Vinland Saga Season 2 Season 2 | Type: Movie | Score: 7.76 | Genre: Romance
MAL-00277 | Kingdom Season 2 | Type: OVA | Score: 7.77 | Genre: Suspense
MAL-00278 | The Kings Avatar Season 2 | Type: ONA | Score: 7.78 | Genre: Adventure
MAL-00279 | Soul Land Season 2 | Type: Special | Score: 7.79 | Genre: Sports
MAL-00280 | Battle Through the Heavens Season 2 | Type: TV | Score: 7.8 | Genre: Action
MAL-00281 | A Will Eternal Season 2 | Type: Movie | Score: 7.81 | Genre: Comedy
MAL-00282 | Perfect World Season 2 | Type: OVA | Score: 7.82 | Genre: Drama
MAL-00283 | Stellar Transformations Season 2 | Type: ONA | Score: 7.83 | Genre: Fantasy
MAL-00284 | Martial Universe Season 2 | Type: Special | Score: 7.84 | Genre: Sci-Fi
MAL-00285 | Spare Me, Great Lord! Season 2 | Type: TV | Score: 7.85 | Genre: Slice of Life
MAL-00286 | Versatile Mage Season 2 | Type: Movie | Score: 7.86 | Genre: Romance
MAL-00287 | Fullmetal Alchemist: Brotherhood Season 3 | Type: OVA | Score: 7.87 | Genre: Suspense
MAL-00288 | Frieren: Beyond Journey's End Season 3 | Type: ONA | Score: 7.88 | Genre: Adventure
MAL-00289 | Steins;Gate Season 3 | Type: Special | Score: 7.89 | Genre: Sports
MAL-00290 | Attack on Titan Season 3 | Type: TV | Score: 7.9 | Genre: Action
MAL-00291 | Hunter x Hunter Season 3 | Type: Movie | Score: 7.91 | Genre: Comedy
MAL-00292 | Bleach: Thousand-Year Blood War Season 3 | Type: OVA | Score: 7.92 | Genre: Drama
MAL-00293 | Gintama Season 3 | Type: ONA | Score: 7.93 | Genre: Fantasy
MAL-00294 | One Piece Season 3 | Type: Special | Score: 7.94 | Genre: Sci-Fi
MAL-00295 | Naruto: Shippuden Season 3 | Type: TV | Score: 7.95 | Genre: Slice of Life
MAL-00296 | Re:Zero - Starting Life in Another World Season 3 | Type: Movie | Score: 7.96 | Genre: Romance
MAL-00297 | Jujutsu Kaisen Season 3 | Type: OVA | Score: 7.97 | Genre: Suspense
MAL-00298 | Demon Slayer: Kimetsu no Yaiba Season 3 | Type: ONA | Score: 7.98 | Genre: Adventure
MAL-00299 | Chainsaw Man Season 3 | Type: Special | Score: 7.99 | Genre: Sports
MAL-00300 | Cowboy Bebop Season 3 | Type: TV | Score: 8.0 | Genre: Action
MAL-00301 | Neon Genesis Evangelion Season 3 | Type: Movie | Score: 8.01 | Genre: Comedy
MAL-00302 | Code Geass: Lelouch of the Rebellion Season 3 | Type: OVA | Score: 8.02 | Genre: Drama
MAL-00303 | Death Note Season 3 | Type: ONA | Score: 8.03 | Genre: Fantasy
MAL-00304 | Monster Season 3 | Type: Special | Score: 8.04 | Genre: Sci-Fi
MAL-00305 | Hajime no Ippo Season 3 | Type: TV | Score: 8.05 | Genre: Slice of Life
MAL-00306 | Vinland Saga Season 3 | Type: Movie | Score: 8.06 | Genre: Romance
MAL-00307 | Mob Psycho 100 Season 3 | Type: OVA | Score: 8.07 | Genre: Suspense
